Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Score,Flag
2013-09-02 03,0.517289394,0.638225256,0.797298361,0.551108707,0.6738437,0.26395939,0.360046815,1,0.686597485,0.446338169,0.672810496,0.216923551,0.218040964,0.211977169,0.002332217,0.526963158,0.946969956,0.030068793,0.315288269,0.216228654,100,0
2013-09-02 04,0.268971919,0.303754266,0.794339608,0.513250406,0.551834131,0.215053765,0.36888499,0.97849462,0.220482588,0.391097971,0.501697696,0.247591065,0.247955233,0.2444935,0.499005353,0.647368421,0.944265181,0.126422507,0.11850811,0.101288377,100,0
2013-09-02 05,0.110698538,0.127303754,0.791991508,0.253109789,0.254385965,0.29679033,0.36645524,0.524802,0.207843232,0.423084412,0.511884048,0.252916678,0.254307332,0.251046842,0.000114313,0.492157895,0.950354719,0.138431247,0.112079364,0.078266215,100,0
2013-09-02 06,0.508006498,0.627986348,0.789844444,0.545700379,0.704944179,0.263586955,0.356953871,0.5,0.760795537,0.441471902,0.670703203,0.22643734,0.228160275,0.223292714,0.000777398,0.522773684,0.944960919,0.016056561,0.328738795,0.200640698,100,0
2013-09-02 07,0.130656765,0.259044369,0.787787884,0.266630611,0.504784689,0.294416245,0.36888499,0.52791878,0.571560905,0.421625856,0.599235856,0.196624974,0.197163729,0.195238847,0.999245467,0.520821053,0.947136389,0.173032976,0.159226844,0.125918208,100,0
2013-09-02 08,0.176142957,0.149829352,0.785031862,0.405083829,0.315789474,0.23989899,0.36888499,0.44949495,0.241568104,0.431576218,0.522102186,0.273035302,0.274063101,0.271182383,0.001051778,0.521263158,0.949666253,0.124860686,0.075177198,0.070629955,100,0
2013-09-02 09,0.159897888,0.149146758,0.783314411,0.371011357,0.311802233,0.315,0.36888499,0.56916667,0.229766622,0.42252742,0.506749341,0.283052166,0.283271473,0.281946712,0.000571613,0.335263158,0.951566051,0.157899822,0.081041539,0.064851228,100,0
2013-09-02 10,0.116268276,0.250511945,0.781521139,0.235262304,0.486443381,0.34054054,0.36888499,0.23783784,0.303870996,0.396649284,0.515370579,0.230001061,0.234151431,0.22759212,0.99935979,0.671052632,0.94829625,0.304244807,0.162723348,0.124617186,100,0
2013-09-02 11,0.187746577,0.202047782,0.77866581,0.3996755,0.3261563,0.2882451,0.36888499,0.45852439,0.265584564,0.435553934,0.507400804,0.269784384,0.271659403,0.26707922,0.000182909,0.524,0.948538165,0.127046855,0.142637381,0.105274386,100,0
2013-09-02 12,0.159897888,0.300341297,0.776667186,0.257977285,0.48245614,0.203045685,0.36888499,0.69035533,0.54460652,0.385183715,0.60751475,0.23804147,0.240785316,0.23535662,0.499165405,0.654736842,0.946419655,0.082118213,0.156578737,0.120599875,100,0
2013-09-02 13,0.112090972,0.173720137,0.774195855,0.229853975,0.252791069,0.38324873,0.36888499,0.29441624,0.522203423,0.455752493,0.608539986,0.290646706,0.291340323,0.289293215,0.499394052,0.295789474,0.945307301,0.038774894,0.044629058,0.087464859,100,0
2013-09-02 14,0.126247389,0.152559727,0.771984593,0.278528935,0.295055821,0.3125,0.36888499,0.2173913,0.25253049,0.284174011,0.476526336,0.32054679,0.320883474,0.319295314,0.001074643,0.541,0.947053653,0.198197071,0.191221709,0.121016347,100,0
2013-09-02 15,0.259689023,0.296928328,0.77030363,0.453758789,0.537480064,0.230964465,0.36888499,0.57360406,0.756696024,0.485531838,0.685494303,0.283600372,0.283714689,0.281106415,0.499211135,0.535684211,0.94409848,0.018968683,0.070371383,0.106978706,100,0
2013-09-02 16,0.132745417,0.212627986,0.768578783,0.259058951,0.390749601,0.282608695,0.36888499,0.08695652,0.265330973,0.457060092,0.532286398,0.259248515,0.262270659,0.254193543,0.001280428,0.389473684,0.944107452,0.072695597,0.032452773,0.07326634,100,0
2013-09-02 17,0.22951961,0.263481229,0.766051011,0.432125473,0.492822967,0.365482235,0.36888499,0.64467005,0.75035956,0.453743056,0.663222086,0.298443919,0.299746277,0.294295317,0.001143238,0.529452632,0.94526439,0.019484662,0.119784498,0.096199275,100,0
2013-09-02 18,0.059874681,0.180546075,0.763892998,0.151433207,0.314194577,0.296954315,0.36888499,0.79187817,0.836616484,0.46547286,0.709647308,0.255253029,0.258318659,0.251493338,0.999314061,0.525561053,0.944108528,0.03287302,0.134005838,0.165905124,100,0
2013-09-02 19,0.545138083,0.655290102,0.762110855,0.572742023,0.720893142,0.323369565,0.36888499,0.42934783,0.78041665,0.427327556,0.707792024,0.255603595,0.256015779,0.251726499,0.002080702,0.477789474,0.945175625,0.028985202,0.271982836,0.190892968,100,0
2013-09-02 20,0.088883732,0.123549488,0.758868151,0.20822066,0.244816587,0.28787879,0.36888499,0.52525253,0.249103868,0.47116359,0.516383859,0.317231264,0.318337761,0.316408786,0.497999309,0.527684211,0.948586314,0.079307338,0.042878731,0.063969405,100,0
2013-09-02 21,0.164539336,0.310580205,0.757639547,0.257436452,0.492025518,0.288265305,0.36888499,0.79081633,0.561150952,0.38458408,0.594903684,0.242654144,0.244121663,0.240692902,0.499028218,0.394736842,0.947486088,0.077752048,0.162545996,0.125145933,100,0
2013-09-02 22,0.201670921,0.310580205,0.755159528,0.329367226,0.49122807,0.28680203,0.36888499,0.64467005,0.815703576,0.414208291,0.689790072,0.282920098,0.280732497,0.284938118,0.999314061,0.526605263,0.944528791,0.030277581,0.285451397,0.232628422,100,0
2013-09-02 23,0.101879786,0.158361775,0.753008146,0.224986479,0.305422648,0.262626265,0.36888499,0.31313131,0.810160177,0.432695976,0.682172242,0.247721812,0.249771337,0.246597924,0.499051082,0.523526316,0.945965369,0.016939549,0.181342694,0.146620249,100,0
2013-09-03 00,0.144116964,0.202730375,0.750732962,0.253109789,0.309409888,0.299492385,0.364273768,0.03045685,0.765717474,0.435357229,0.691036738,0.343090103,0.342937785,0.342704977,0.002309352,0.525838579,0.947776179,0.045696379,0.238681523,0.225917355,100,0
2013-09-03 01,0.215595266,0.267235495,0.749406667,0.394267171,0.49122807,0.31818182,0.36888499,0.88888889,0.252531337,0.402585477,0.536679494,0.321463555,0.323267947,0.315836216,0.002423676,0.523284211,0.942959414,0.108150285,0.097817086,0.087959577,100,0
2013-09-03 02,0.114875841,0.165870307,0.746779946,0.244456463,0.30861244,0.316216215,0.36888499,0.46486486,0.232016291,0.406103234,0.485677103,0.274845039,0.276393498,0.273433535,0.499028218,0.434210526,0.942754212,0.123693654,0.098961928,0.106332986,100,0
2013-09-03 03,0.092364818,0.200682594,0.74496096,0.173066522,0.330940989,0.220108695,0.36888499,0.92934783,0.623942144,0.442909252,0.624095657,0.327667287,0.328271785,0.326159417,0.498959624,0.525618947,0.945823916,0.048186768,0.431224423,0.370784957,100,0
2013-09-03 04,0.135066141,0.188395904,0.742478127,0.290968091,0.360446571,0.325757575,0.36888499,0.34848485,0.510885929,0.341424083,0.564044902,0.3005743,0.302910861,0.297840791,0.498959624,0.327894737,0.942887082,0.127348111,0.138886945,0.124582586,100,0
2013-09-03 05,0.180784405,0.389078498,0.74042847,0.301784749,0.660287081,0.25,0.36888499,0,0.655471213,0.420222024,0.632499036,0.250784091,0.25110266,0.248836384,0.999085415,0.526694737,0.944603746,0.036238687,0.349698924,0.329038798,100,0
