0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2.30E-13,1.14E-11,0.633918047,2.83E-14,1.61E-12,0.008260561,0.05568415,0.079689132,0.007900476,0.024928067,0.000157964,0.006523864,0.007288316,0.006753526,0.08436609,3.76E-12,0.011145252,0.000990048,0.072373651,2.09E-05
2.40E-13,9.90E-12,0.628549702,3.31E-14,1.31E-12,0.009819413,0.059367865,0.079190559,0.006612856,0.023978879,0.000146337,0.006920325,0.007735414,0.007046808,0.084849445,3.45E-12,0.011126032,0.001042478,0.073591573,2.23E-05
2.32E-13,1.01E-11,0.624834219,3.39E-14,1.33E-12,0.010693761,0.061297383,0.078937602,0.006389019,0.025883251,0.000139816,0.006961536,0.008105161,0.007126645,0.084362049,3.81E-12,0.011062803,0.001114136,0.073070445,2.22E-05
2.70E-13,1.12E-11,0.628102904,3.79E-14,1.46E-12,0.009732556,0.059404884,0.07949394,0.006837928,0.023941104,0.00015013,0.007030201,0.007786646,0.00704448,0.084787347,3.56E-12,0.011118029,0.001048789,0.073498776,2.23E-05
2.77E-13,1.28E-11,0.626834008,3.61E-14,1.80E-12,0.009272579,0.061417967,0.079240085,0.005537111,0.024759304,0.000120938,0.007016951,0.008182545,0.007210627,0.084615474,3.91E-12,0.011095561,0.001152284,0.073522364,2.22E-05
2.72E-13,1.35E-11,0.629193858,4.13E-14,1.88E-12,0.011185702,0.054112006,0.074257478,0.006330377,0.021920315,0.000134537,0.006667836,0.007736954,0.006860172,0.0833906,3.42E-12,0.011199601,0.000834905,0.086151771,2.39E-05
2.75E-13,1.39E-11,0.627137812,3.90E-14,1.76E-12,0.012068467,0.055050435,0.074708838,0.0059317,0.022020644,0.000129046,0.006904365,0.008128462,0.006871591,0.083123211,2.87E-12,0.011166333,0.000825962,0.085909169,2.40E-05
2.47E-13,1.21E-11,0.631846338,3.68E-14,1.75E-12,0.01190427,0.051945648,0.07289503,0.005770347,0.021717185,0.000124584,0.007363506,0.008591937,0.007536915,0.083753243,2.99E-12,0.010885508,0.00085075,0.084791199,2.35E-05
2.67E-13,1.14E-11,0.644405307,3.99E-14,2.46E-12,0.010239895,0.05040055,0.059557006,0.007398912,0.022834909,0.00015702,0.008708841,0.010151453,0.008882444,0.086049405,5.23E-12,0.012622057,0.00080416,0.077765946,2.21E-05
2.63E-13,1.10E-11,0.642361204,4.24E-14,1.90E-12,0.008188109,0.05565252,0.059834871,0.007594703,0.022668998,0.000162821,0.008591334,0.009790448,0.008422438,0.08578255,4.96E-12,0.012586128,0.000771453,0.077570265,2.22E-05
2.60E-13,1.27E-11,0.634226688,4.82E-14,1.91E-12,0.007844734,0.068742325,0.058939542,0.006654052,0.022403271,0.000151373,0.008496776,0.009595414,0.008388087,0.084739047,5.55E-12,0.012445687,0.000759602,0.076590098,2.33E-05
2.87E-13,1.00E-11,0.615289785,6.98E-14,3.40E-12,0.008598277,0.092095098,0.058807914,0.007146818,0.021875839,0.000157808,0.008487839,0.00965514,0.008450435,0.082265527,6.80E-12,0.012222149,0.000773785,0.074151562,2.20E-05
3.33E-13,1.17E-11,0.643575686,8.30E-14,4.13E-12,0.008464947,0.083008552,0.052221266,0.007548789,0.020003487,0.000161641,0.007282955,0.008505959,0.007084016,0.077897413,7.29E-12,0.013112791,0.000782864,0.070326018,2.36E-05
3.55E-13,1.32E-11,0.65023129,7.50E-14,3.91E-12,0.008437773,0.081192189,0.047295222,0.00768022,0.021300797,0.000156182,0.007207915,0.008711952,0.007911937,0.079392147,5.92E-12,0.01329232,0.000742601,0.06642442,2.30E-05
3.63E-13,1.36E-11,0.661227823,7.65E-14,3.90E-12,0.008736186,0.072477549,0.042554154,0.007032958,0.021697203,0.000151536,0.007343377,0.008990929,0.00788122,0.08054166,5.90E-12,0.012738609,0.000781398,0.067821926,2.35E-05
3.94E-13,1.70E-11,0.656922017,7.76E-14,4.40E-12,0.008654736,0.08388291,0.041925029,0.006237288,0.025992088,0.000138394,0.006638868,0.008263461,0.006991431,0.080069799,4.66E-12,0.012719059,0.000753109,0.060789401,2.24E-05
2.78E-13,1.21E-11,0.63146264,4.67E-14,3.25E-12,0.008009772,0.116975911,0.041093601,0.004789322,0.026499813,0.000112106,0.007875139,0.010049455,0.007195287,0.074799861,5.89E-12,0.014623207,0.000772148,0.055718662,2.31E-05
2.85E-13,1.16E-11,0.629006435,4.56E-14,3.31E-12,0.008032051,0.105516038,0.044103472,0.005341916,0.026170631,0.000127688,0.008431582,0.01037684,0.0078121,0.073881953,6.56E-12,0.016604165,0.000783231,0.063785972,2.59E-05
3.25E-13,1.17E-11,0.621499875,5.62E-14,3.29E-12,0.008900702,0.092212385,0.051503976,0.004813223,0.023687792,0.000117069,0.009843457,0.01180775,0.009607907,0.084003416,5.97E-12,0.015862534,0.000767648,0.065350056,2.22E-05
3.45E-13,1.35E-11,0.621617703,5.66E-14,3.81E-12,0.009413525,0.083959553,0.045120536,0.005236702,0.023109385,0.000123431,0.012760708,0.01501988,0.0120099,0.085504076,5.93E-12,0.01348035,0.000732057,0.071888882,2.33E-05
3.78E-13,1.52E-11,0.648639475,5.59E-14,3.76E-12,0.009135582,0.065243491,0.044435339,0.005428646,0.025658438,0.000125423,0.012711814,0.01557384,0.011747719,0.082433164,5.96E-12,0.010251441,0.000807766,0.067785677,2.22E-05
