Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Score,Flag
2013-01-02 04,0.28057554,0.18668942,0.776308549,0.405083829,0.292663477,0.33080808,0.334475495,0.26767677,0.15346398,0.086070484,0.030540342,0.062667535,0.061900435,0.062644371,0.000731668,0.542105263,0.951653011,0.109072918,0.137511933,0.248809094,100,0
2013-01-02 05,0.119981434,0.118430034,0.775077625,0.243374797,0.228070175,0.395721925,0.332451407,0.89304813,0.543101954,0.071346239,0.154566698,0.059168769,0.061548143,0.057380522,0.999291197,0.526731579,0.954256147,0.056246087,0.211994324,0.351907894,100,0
2013-01-02 06,0.0983987,0.131740614,0.770843856,0.186046512,0.20015949,0.401041665,0.357713852,0.60286458,0.238448747,0.03731503,0.031161824,0.05273237,0.055240545,0.051603778,0.999428384,0.521926316,0.958029378,0.279835744,0.174952452,0.301101603,100,0
2013-01-02 07,0.171501508,0.13003413,0.76993074,0.318550568,0.186602871,0.32994924,0.364658037,0.88324873,0.144154421,0.074127277,0.020337265,0.141542449,0.143231371,0.13949705,0.499096812,0.525841105,0.955886424,0.1787006,0.171586206,0.244796057,100,0
2013-01-02 08,0.114875841,0.085324232,0.768545734,0.274743104,0.187400319,0.5,0.448791483,0.52525253,0.141555403,0.07295695,0.022964468,0.145052422,0.146297573,0.1430557,0.001623402,0.542947368,0.956049274,0.179761103,0.171254549,0.234352106,100,0
2013-01-02 09,0.187746577,0.163822526,0.766854546,0.373715522,0.307017544,0.5,0.529749376,0.67708333,0.423760994,0.060697559,0.095488613,0.112378342,0.113904135,0.109216078,0.498822436,0.613157895,0.958404239,0.199528972,0.189970514,0.295106801,100,0
2013-01-02 10,0.148294268,0.127645051,0.765687209,0.243374797,0.172248804,0.5,0.584900149,0.55050505,0.831432285,0.125825302,0.311842932,0.121754587,0.123185129,0.120445864,0.247879252,0.530552632,0.954571109,0.008242708,0.11153958,0.175269325,100,0
2013-01-02 11,0.148294268,0.140955631,0.763702057,0.297998918,0.244816587,0.5,0.582484251,0.57297297,0.589640895,0.115245429,0.185361582,0.070447749,0.072770204,0.068756108,0.499416916,0.523442105,0.956286496,0.046251764,0.515595708,0.555522779,100,0
2013-01-02 12,0.137618937,0.124573379,0.739269397,0.257436452,0.222488038,0.5,0.573649686,0.38797814,0.249729912,0.119329259,0.099847933,0.077743646,0.080997555,0.074096952,0.499211135,0.463157895,0.952378656,0.069113484,0.046030694,0.221010133,75,0
2013-01-02 13,0.183105129,0.2221843,0.761692974,0.320713899,0.391547049,0.5,0.555000432,0.59668508,0.71016905,0.108167284,0.241737022,0.083605016,0.084053453,0.082094727,0.000845993,0.524057895,0.951594021,0.023691059,0.275994074,0.285247901,100,0
